13/6/23|12:14:0|22|22|0:0|1|0@ 
13/6/23|12:14:5|22|21|0:0|1|0@ 
13/6/23|12:14:10|22|23|0:0|1|0@ 
13/6/23|12:14:15|22|24|0:0|1|0@ 
13/6/23|12:14:20|22|25|0:0|1|0@ 
13/6/23|12:14:25|22|26|0:0|1|0@ 
13/6/23|12:14:30|22|26|0:0|1|0@ 
13/6/23|12:14:35|22|28|0:0|1|0@ 
13/6/23|12:14:40|22|30|0:0|1|0@ 
13/6/23|12:14:45|22|32|0:0|1|0@ 
13/6/23|12:14:50|22|34|0:0|1|0@ 
13/6/23|12:14:55|22|36|0:0|1|0@ 
13/6/23|12:15:0|22|38|0:1|1|0@ 
13/6/23|12:15:5|22|40|0:1|1|0@ 
13/6/23|12:15:10|22|43|0:1|1|0@ 
13/6/23|12:15:15|22|45|0:1|1|0@ 
13/6/23|12:15:20|22|48|0:1|1|0@ 
13/6/23|12:15:25|22|50|0:1|1|0@ 
13/6/23|12:15:30|22|53|0:1|1|0@ 
13/6/23|12:15:35|22|55|0:1|1|0@ 
13/6/23|12:15:40|22|58|0:1|1|0@ 
13/6/23|12:15:45|22|60|0:1|1|0@ 
13/6/23|12:15:50|22|64|0:1|1|0@ 
13/6/23|12:15:55|22|66|0:1|1|0@ 
13/6/23|12:16:5|22|72|0:2|1|0@ 
13/6/23|12:16:10|22|74|0:2|1|0@ 
13/6/23|12:16:15|22|76|0:2|1|0@ 
13/6/23|12:16:20|22|78|0:2|1|0@ 
13/6/23|12:16:25|22|80|0:2|1|0@ 
13/6/23|12:16:30|22|81|0:2|1|0@ 
13/6/23|12:16:35|22|82|0:2|1|0@ 
13/6/23|12:16:40|22|83|0:2|1|0@ 
13/6/23|12:16:45|22|84|0:2|1|0@ 
13/6/23|12:16:48|22|85|0:2|1|0@ 
13/6/23|12:16:55|22|86|0:2|1|1@ 
13/6/23|12:17:0|22|85|0:3|1|1@ 
13/6/23|12:17:5|22|86|0:3|1|1@ 
13/6/23|12:17:10|22|86|0:3|1|1@ 
